bloco;layout;col_b_raw;brand;category;descricao;rg;codigo_fabrica;status;tabela_bruta;multipl_desconto;custo;VENDA_DIRETA_MS;MS_DDOS;MS_DDOS_PRAZO;MS_ANDREI;SP_SP;SP_OUTROS;SP_RJ_MG_SUL;SP_MONTAGEM;OUTROS_ES;MG_RJ_SUL;DOURADOS_MS;flags
B1_MS;B;PULVERIZADOR;;PULVERIZADOR;FALKI 600 - PULV 3 PONTOS - 600 LITROS E BARRAS 12 METROS;52445;119040012;;35462;0.4505;14949.360719999999;;22590;;21500;19900;20032.1433648;21500;;;;;
B1_MS;B;COMPOSTADOR;;COMPOSTADOR;CRO 2.0 (PEQUENO) SEM SULCADOR SEM KIT PULVERIZAÇÃO;54165;120270077;;84519;;35629.829639999996;;55990;;54900;52900;54900;56900;;;;;PRECO_MANUAL
B1_MS;B;COMPOSTADOR;;COMPOSTADOR;CRO 2.0 (PEQUENO) COM SULCADOR SEM KIT PULVERIZAÇÃO;51341;120270075;;92322;;38919.26232;;60990;;58900;55900;57900;59900;;;;;PRECO_MANUAL
B1_MS;B;COMPOSTADOR;;COMPOSTADOR;CRO 2.0 (PEQUENO) COM SULCADOR E COM KITS PULVER (COMPLETO);54166;120270074;;144275;;60820.568999999996;;95990;;89900;85900;88900;91900;;;;;PRECO_MANUAL
B1_MS;B;COMPOSTADOR;;COMPOSTADOR;CRO 4.0 CIVEMASA COM SULCADOR E COM KITS PULVERIZ (COMPLETO);38384;120270072;;258083;0.4505;108797.46948;;169990;20800;166900;153900;160900;172300;;;;;PRECO_MANUAL
B1_MS;B;COMPOSTADOR;;COMPOSTADOR;CRO 4.0 CIVEMASA COM SULCADOR E SEM KITS PULVERIZAÇÃO;54085;120270042;;211858;;89310.85848;;130990;;128900;118900;119676.55036319999;128900;;;;;
B1_MS;B;COMPOSTADOR;;COMPOSTADOR;CRO 4.0 CIVEMASA SEM SULCADOR E SEM KITS PULVERIZAÇÃO;54064;120270046;;200038;0.4505;84328.01928;;127990;20800;123900;113900;112999.5458352;123900;;;;;
B1_MS;B;ROÇADEIRA;;ROÇADEIRA;"HID RC2 1500 TRANSMISSÃO ""DIRETA"" - 70 cv";50737;104010009;;27000;0.4505;11382.119999999999;;16500;19700;15900;14900;15500;15900;;;;;PRECO_MANUAL
B1_MS;B;ROÇADEIRA;;ROÇADEIRA;"HID RC2 1700 TRANSMISSÃO ""DIRETA"" - 80 cv";49058;104100032;;28065;;11831.0814;;17500;;16900;15700;16300;16900;;;;;PRECO_MANUAL
B1_MS;B;ROÇADEIRA;;ROÇADEIRA;"HID 1300 KAPINA CLASSIC (MAIS LEVE) ""DIRETA"" - 60 CV";53911;104150007;;24107;;10162.546919999999;;14800;;14400;13500;14000;14400;;;;;PRECO_MANUAL
B1_MS;B;ROÇADEIRA;;ROÇADEIRA;"HID 1500 KAPINA CLASSIC (MAIS LEVE) ""DIRETA"" - 70 CV";53694;104150010;;25393;;10636;;15700;;15200;14300;14800;15200;;;;;PRECO_MANUAL
B1_MS;B;ROÇADEIRA;;ROÇADEIRA;"HID 1700 KAPINA CLASSIC (MAIS LEVE) ""DIRETA"" - 80 CV";53860;104150013;;26296;;11277;;16500;;15900;14700;15350;15900;;;;;PRECO_MANUAL
B1_MS;B;ROÇADEIRA;;ROÇADEIRA;"HID RO2  1500 TRANSMISSÃO ""POR CORREIAS"" - 70cv";51124;104010049;;30984;0.4505;13280;;19590;22450;18700;17300;17900;18700;;;;;PRECO_MANUAL
B1_MS;B;ROÇADEIRA;;ROÇADEIRA;"HID RO2 1700 TRANSMISSÃO  ""POR CORREIAS"" - 80 cv";35409;104100049;;31929;0.4505;13690;;19990;23200;17900;17797;18500;19200;;;;;
